index,detail_url,dress_id,image_url_high_res,item_title,price
603,http://www.modcloth.com/shop/dresses/wants-upon-a-time-dress,603,http://productshots3.modcloth.net/productshots/0170/9377/4012c5c1033bccdc378d5295ddaa3062.jpg?1466100937,Dresses - Wants Upon a Time Dress,$69.99
604,http://www.modcloth.com/shop/dresses/out-of-this-twirl-dress,604,http://productshots0.modcloth.net/productshots/0168/9677/1f3ead9bce74ac8339fc78a03a670369.jpg?1460990067,Dresses - Out of This Twirl Dress,$125.00
605,http://www.modcloth.com/shop/dresses/heiress-of-them-all-maxi-dress,605,http://productshots1.modcloth.net/productshots/0163/6127/74db8c5bad56929d6f37d1c685666c40.jpg?1445460664,Dresses - Heiress of Them All Maxi Dress,$400.00
606,http://www.modcloth.com/shop/dresses/fleurs-truly-dress-in-navy,606,http://productshots0.modcloth.net/productshots/0169/7015/f98bc0dbcf25217f5ab85ccb9e89741f.jpg?1462904107,Dresses - Fleurs Truly Dress in Navy,$125.00
607,http://www.modcloth.com/shop/dresses/that-fireworks-for-me-dress,607,http://productshots1.modcloth.net/productshots/0170/7325/5e596a2d9f3b61edd1b48438f2ea3732.jpg?1465585465,Dresses - That Fireworks for Me Dress,$59.99
608,http://www.modcloth.com/shop/dresses/office-hours-enlightenment-dress-in-dots,608,http://productshots2.modcloth.net/productshots/0170/6477/d2a1e58f2a959122f02a27300ac69876.jpg?1465422287,Dresses - Office Hours Enlightenment Dress in Dots,$64.99
609,http://www.modcloth.com/shop/dresses/pretty-on-the-park-bench-dress-in-dots,609,http://productshots1.modcloth.net/productshots/0167/6139/5fcfe1d9acc2ca9b3355b159cf80c374.jpg?1457644280,Dresses - Pretty on the Park Bench Dress in Dots,$84.99
610,http://www.modcloth.com/shop/dresses/flirty-chai-dress,610,http://productshots2.modcloth.net/productshots/0171/2349/df3073b8c10b7478e7b684de57cdc47f.jpg?1466802032,Dresses - Flirty Chai Dress,$69.99
611,http://www.modcloth.com/shop/dresses/about-the-artist-dress-in-grey,611,http://productshots0.modcloth.net/productshots/0167/6671/ef451edc5107906ffeb6ccaede6d2863.jpg?1457733307,Dresses - About the Artist Dress in Grey,$69.99
612,http://www.modcloth.com/shop/dresses/feeling-serene-maxi-dress-in-ruby,612,http://productshots2.modcloth.net/productshots/0171/2693/879e63a43112dbc7d17f5f7f59a0f5c4.jpg?1466804104,Dresses - Feeling Serene Maxi Dress in Ruby,$89.99
613,http://www.modcloth.com/shop/dresses/up-up-and-amaze-dress-in-flock,613,http://productshots1.modcloth.net/productshots/0171/2155/750780c084bc916339aa1c8d3adf8d64.jpg?1466783384,"Dresses - Up, Up, and Amaze Dress in Flock",$69.99
614,http://www.modcloth.com/shop/dresses/capitol-hill-correspondent-dress,614,http://productshots3.modcloth.net/productshots/0171/2359/99cd79f135b27c91d7b8338d2b3ed8b4.jpg?1466802043,Dresses - Capitol Hill Correspondent Dress,$59.99
615,http://www.modcloth.com/shop/dresses/bliss-way-up-wedding-dress-in-ivory,615,http://productshots3.modcloth.net/productshots/0173/0143/9b910468864ffbcdd70dab5c2c2f1fb9.jpg?1471037903,Dresses - Bliss Way Up Wedding Dress in Ivory,$250.00
616,http://www.modcloth.com/shop/dresses/coach-tour-dress-in-violet,616,http://productshots2.modcloth.net/productshots/0168/2645/fe6c9aa05fd56ffdbfdfa6ea0501a68e.jpg?1459193221,Dresses - Coach Tour Dress in Violet,$59.99
617,http://www.modcloth.com/shop/dresses/divine-designer-dress,617,http://productshots0.modcloth.net/productshots/0171/9685/f55e93ed029b46d0288308aa58871d42.jpg?1468530101,Dresses - Divine Designer Dress,$59.99
618,http://www.modcloth.com/shop/dresses/when-i-groove-you-groove-dress-in-vermillion,618,http://productshots1.modcloth.net/productshots/0167/2967/17f398a65f43308e59b8959d850006fa.jpg?1457038232,"Dresses - When I Groove, You Groove Dress in Vermillion",$99.99
619,http://www.modcloth.com/shop/dresses/bayside-vacay-dress-in-navy,619,http://productshots2.modcloth.net/productshots/0167/6485/3f848ad55d69dffd4ed2903d6c111c1d.jpg?1457727881,Dresses - Bayside Vacay Dress in Navy,$64.99
620,http://www.modcloth.com/shop/dresses/make-some-poise-wedding-dress-in-ivory,620,http://productshots2.modcloth.net/productshots/0168/0803/ad06ca90d5336c167487aa6304e4ff0b.jpg?1458745867,Dresses - Make Some Poise Wedding Dress in Ivory,$150.00
621,http://www.modcloth.com/shop/dresses/all-ready-for-retro-dress,621,http://productshots3.modcloth.net/productshots/0171/2437/3fb401449666483cca2dad59a5e651af.jpg?1466802286,Dresses - All Ready for Retro Dress,$129.99
622,http://www.modcloth.com/shop/dresses/perfect-poise-dress-in-peacock,622,http://productshots3.modcloth.net/productshots/0171/1501/0431456373ca4bf9591ce63e5ef48f1a.jpg?1466632075,Dresses - Perfect Poise Dress in Peacock,$89.99
